[14-Nov-2021 20:43:41 UTC] PHP Warning:  Error while sending QUERY packet. PID=38508 in C:\Users\svant\Local Sites\test\app\public\wp-includes\wp-db.php on line 2056
[14-Nov-2021 20:43:41 UTC] PHP Stack trace:
[14-Nov-2021 20:43:41 UTC] PHP   1. {main}() C:\Users\svant\AppData\Local\Programs\Local\resources\extraResources\bin\wp-cli\wp-cli.phar:0
[14-Nov-2021 20:43:41 UTC] PHP   2. include() C:\Users\svant\AppData\Local\Programs\Local\resources\extraResources\bin\wp-cli\wp-cli.phar:4
[14-Nov-2021 20:43:41 UTC] PHP   3. include() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/php/boot-phar.php:11
[14-Nov-2021 20:43:41 UTC] PHP   4. WP_CLI\bootstrap() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/wp-cli.php:27
[14-Nov-2021 20:43:41 UTC] PHP   5. WP_CLI\Bootstrap\LaunchRunner->process() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/bootstrap.php:77
[14-Nov-2021 20:43:41 UTC] PHP   6. WP_CLI\Runner->start() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Bootstrap/LaunchRunner.php:23
[14-Nov-2021 20:43:41 UTC] PHP   7. WP_CLI\Runner->run_command_and_exit() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php:1194
[14-Nov-2021 20:43:41 UTC] PHP   8. WP_CLI\Runner->run_command() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php:422
[14-Nov-2021 20:43:41 UTC] PHP   9. WP_CLI\Dispatcher\Subcommand->invoke() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php:399
[14-Nov-2021 20:43:41 UTC] PHP  10. call_user_func:{phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Dispatcher/Subcommand.php:491}() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Dispatcher/Subcommand.php:491
[14-Nov-2021 20:43:41 UTC] PHP  11. WP_CLI\Dispatcher\CommandFactory::WP_CLI\Dispatcher\{closure:phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Dispatcher/CommandFactory.php:97-104}() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Dispatcher/Subcommand.php:491
[14-Nov-2021 20:43:41 UTC] PHP  12. call_user_func:{phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Dispatcher/CommandFactory.php:100}() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Dispatcher/CommandFactory.php:100
[14-Nov-2021 20:43:41 UTC] PHP  13. Core_Command->install() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/wp-cli/php/WP_CLI/Dispatcher/CommandFactory.php:100
[14-Nov-2021 20:43:41 UTC] PHP  14. Core_Command->do_install() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/core-command/src/Core_Command.php:401
[14-Nov-2021 20:43:41 UTC] PHP  15. is_blog_installed() phar://C:/Users/svant/AppData/Local/Programs/Local/resources/extraResources/bin/wp-cli/wp-cli.phar/vendor/wp-cli/core-command/src/Core_Command.php:577
[14-Nov-2021 20:43:41 UTC] PHP  16. wpdb->get_var() C:\Users\svant\Local Sites\test\app\public\wp-includes\functions.php:1734
[14-Nov-2021 20:43:41 UTC] PHP  17. wpdb->query() C:\Users\svant\Local Sites\test\app\public\wp-includes\wp-db.php:2581
[14-Nov-2021 20:43:41 UTC] PHP  18. wpdb->_do_query() C:\Users\svant\Local Sites\test\app\public\wp-includes\wp-db.php:1945
[14-Nov-2021 20:43:41 UTC] PHP  19. mysqli_query() C:\Users\svant\Local Sites\test\app\public\wp-includes\wp-db.php:2056
